acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
74.83,70.39,70.93,70.73,0.7073,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-38-08,2e-05,0.5,8,5,0.1,0.2
74.61,71.38,72.25,71.06,0.7075,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-21-59,2e-05,0.4,8,5,0.1,0.2
73.93,70.88,72.02,71.18,0.6859999999999999,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-33-13,2.5e-05,0.4,8,5,0.1,0.2
73.71,69.34,70.74,68.84,0.7151,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-42-22,2.5e-05,0.5,8,5,0.1,0.2
73.48,68.84,69.2,69.15,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-47-56,2e-05,0.45,8,5,0.1,0.2
73.48,68.05,68.19,68.69,0.691,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-18-20,2.5e-05,0.6,8,5,0.1,0.2
73.48,69.02,68.92,69.95,0.6925,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-45-11,2.5e-05,0.5,8,5,0.1,0.2
73.48,70.56,71.23,70.79,0.7047,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-00-09,2e-05,0.45,8,5,0.1,0.2
73.48,69.57,69.45,70.43,0.7015,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-12-25,2e-05,0.5,8,5,0.1,0.2
73.48,68.43,68.82,69.51,0.6891,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-55-46,2.5e-05,0.5,8,5,0.1,0.2
73.48,69.94,70.07,70.6,0.7035,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-09-49,2e-05,0.45,8,5,0.1,0.2
73.48,68.84,69.2,69.15,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-59-34,2e-05,0.45,8,5,0.1,0.2
73.26,68.75,70.04,68.9,0.7003,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-56-44,1e-05,0.5,8,5,0.1,0.2
73.26,67.63,67.62,68.66,0.7166,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-27-13,2e-05,0.4,8,5,0.1,0.2
73.26,68.73,68.54,69.46,0.7172,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-12-32,2.5e-05,0.6,8,5,0.1,0.2
73.26,67.63,67.62,68.66,0.7166,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-25-04,2e-05,0.4,8,5,0.1,0.2
73.03,69.59,70.15,69.7,0.7125,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-34-03,3e-05,0.6,8,5,0.1,0.2
73.03,66.64,67.94,67.61,0.6978,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-17-07,2.9999999999999997e-05,0.5,8,5,0.1,0.2
73.03,70.16,70.52,71.08,0.6889,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-26-28,4e-05,0.5,8,5,0.1,0.2
73.03,68.94,68.82,70.19,0.7078,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-07-05-40,2e-05,0.3,8,5,0.1,0.2
73.03,69.59,70.15,69.7,0.7125,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-23-55,2.9999999999999997e-05,0.6,8,5,0.1,0.2
73.03,66.64,67.94,67.61,0.6978,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-07-50-35,3e-05,0.5,8,5,0.1,0.2
73.03,69.19,69.3,69.74,0.6944,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-08-06,2.5e-05,0.45,8,5,0.1,0.2
72.81,66.55,66.48,68.01,0.6847,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-33-59,5e-05,0.5,8,5,0.1,0.2
72.81,70.13,69.69,72.15,0.6947,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-43-45,4e-05,0.4,8,5,0.1,0.2
72.81,68.47,68.99,69.07,0.6928,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-27-17,2.9999999999999997e-05,0.6,8,5,0.1,0.2
72.58,68.32,69.19,68.71,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-05-57-04,3e-05,0.45,8,5,0.1,0.2
72.58,68.07,68.71,67.92,0.7024,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-06-36,4e-05,0.45,8,5,0.1,0.2
72.58,68.87,69.58,68.8,0.7135,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-33-47,2.9999999999999997e-05,0.4,8,5,0.1,0.2
72.58,68.94,70.15,68.53,0.7146,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-04-37-02,2e-05,0.45,8,5,0.1,0.2
72.58,69.14,69.01,69.99,0.6941,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-06-36-30,2e-05,0.4,8,5,0.1,0.2
72.58,68.32,69.19,68.71,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-16-38,2.9999999999999997e-05,0.45,8,5,0.1,0.2
72.58,68.87,69.58,68.8,0.7135,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-24-08-38-50,3e-05,0.4,8,5,0.1,0.2
72.36,68.07,68.03,68.82,0.6769,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-49-05,5e-05,0.6,8,5,0.1,0.2
72.36,68.42,68.71,69.16,0.7012,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-52-37,3e-05,0.5,8,5,0.1,0.2
72.36,68.37,68.69,69.09,0.6857,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-24-03-54-36,2.5e-05,0.6,8,5,0.1,0.2
72.36,67.99,67.66,69.09,0.7132,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-24-05-49-02,2e-05,0.5,8,5,0.1,0.2
72.13,66.85,68.0,67.87,0.6864,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-04-15-41,1e-05,0.6,8,5,0.1,0.2
72.13,67.6,67.18,68.59,0.6982,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-55-26,1e-05,0.3,8,5,0.1,0.2
72.13,69.17,69.25,69.97,0.6977,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-07-34,2.5e-05,0.45,8,5,0.1,0.2
71.91,66.02,66.14,67.06,0.6804,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-21-06-50-21,5e-05,0.4,8,5,0.1,0.2
71.91,66.47,66.1,67.69,0.6816,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-02-12-57,2e-05,0.6,8,5,0.1,0.2
71.91,68.41,69.14,70.25,0.6943,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-03-40-51,3e-05,0.4,8,5,0.1,0.2
