acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
53.03,48.17,49.0,48.3,0.4961,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-14-55-17,1e-05,0.6,8,2048,5,0.1,0.2
37.98,36.46,38.43,36.54,0.4217,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-15-11-49,2e-05,0.6,8,2048,5,0.1,0.2
48.31,44.97,45.61,46.57,0.4521,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-15-44-45,2.5e-05,0.6,8,2048,5,0.1,0.2
20.0,6.36,4.91,11.34,0.0644,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-03-18,3e-05,0.6,8,2048,5,0.1,0.2
52.13,47.88,49.98,48.42,0.4606,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-10-12,1e-05,0.5,8,2048,5,0.1,0.2
11.69,2.51,1.63,5.66,0.0309,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-27-40,2e-05,0.5,8,2048,5,0.1,0.2
31.24,17.13,16.35,20.2,0.1737,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-31-46,2.5e-05,0.5,8,2048,5,0.1,0.2
41.35,39.58,41.36,39.8,0.4081,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-41-55,3e-05,0.5,8,2048,5,0.1,0.2
51.46,46.05,45.24,48.41,0.4639,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-16-58-56,1e-05,0.45,8,2048,5,0.1,0.2
51.01,47.23,50.97,46.56,0.4577,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-17-12-43,2e-05,0.45,8,2048,5,0.1,0.2
51.46,47.19,51.23,46.29,0.47700000000000004,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-17-30-38,2.5e-05,0.45,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-17-46-22,3e-05,0.45,8,2048,5,0.1,0.2
53.93,48.46,48.66,50.37,0.478,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-17-50-29,1e-05,0.4,8,2048,5,0.1,0.2
10.34,2.54,2.12,6.45,0.0333,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-02-49,2e-05,0.4,8,2048,5,0.1,0.2
52.58,47.2,48.11,48.61,0.5017,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-06-39,2.5e-05,0.4,8,2048,5,0.1,0.2
13.03,2.56,1.85,5.23,0.0255,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-23-39,3e-05,0.4,8,2048,5,0.1,0.2
53.26,48.47,49.39,49.28,0.4546,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-27-32,1e-05,0.35,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-39-56,2e-05,0.35,8,2048,5,0.1,0.2
52.58,46.07,46.53,46.95,0.4518,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-44-00,2.5e-05,0.35,8,2048,5,0.1,0.2
38.2,25.39,25.68,27.03,0.2549,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-18-54-30,3e-05,0.35,8,2048,5,0.1,0.2
53.03,49.37,50.13,50.56,0.4708,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-19-08-21,1e-05,0.6,8,2048,5,0.1,0.2
53.93,49.62,51.28,49.26,0.4737,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-19-25-01,2e-05,0.6,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-19-41-14,2.5e-05,0.6,8,2048,5,0.1,0.2
45.84,43.72,48.97,42.4,0.4474,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-19-45-16,3e-05,0.6,8,2048,5,0.1,0.2
53.26,49.34,49.51,50.61,0.4872,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-20-02-39,1e-05,0.5,8,2048,5,0.1,0.2
54.16,49.37,50.54,49.91,0.4934,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-20-17-32,2e-05,0.5,8,2048,5,0.1,0.2
51.01,47.36,49.58,47.35,0.4816,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-20-32-59,2.5e-05,0.5,8,2048,5,0.1,0.2
19.33,6.19,6.77,10.37,0.0771,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-20-50-35,3e-05,0.5,8,2048,5,0.1,0.2
56.85,53.6,55.51,53.31,0.5099,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-20-56-34,1e-05,0.45,8,2048,5,0.1,0.2
52.81,49.23,49.71,49.31,0.4768,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-21-18-35,2e-05,0.45,8,2048,5,0.1,0.2
53.93,51.7,51.91,52.14,0.4993,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-21-31-25,2.5e-05,0.45,8,2048,5,0.1,0.2
55.96,53.1,54.35,52.89,0.5734,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-21-52-29,3e-05,0.45,8,2048,5,0.1,0.2
53.71,49.55,50.53,50.23,0.4953,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-22-07-29,1e-05,0.4,8,2048,5,0.1,0.2
53.26,48.2,50.27,47.6,0.5031,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-22-22-45,2e-05,0.4,8,2048,5,0.1,0.2
51.24,48.23,50.57,48.03,0.5086,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-22-35-22,2.5e-05,0.4,8,2048,5,0.1,0.2
49.66,44.48,46.17,44.2,0.4751,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-22-50-38,3e-05,0.4,8,2048,5,0.1,0.2
55.73,52.59,54.56,52.25,0.5068,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-23-05-53,1e-05,0.35,8,2048,5,0.1,0.2
52.36,48.69,51.57,47.29,0.5046,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-23-24-18,2e-05,0.35,8,2048,5,0.1,0.2
47.42,45.23,49.15,43.05,0.4732,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-23-41-14,2.5e-05,0.35,8,2048,5,0.1,0.2
52.36,49.07,52.09,48.11,0.5064,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-23-53-58,3e-05,0.35,8,2048,5,0.1,0.2
49.44,43.21,44.71,43.49,0.4765,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-25-00-12-01,1e-05,0.6,8,2048,5,0.1,0.2
53.48,49.5,51.07,49.25,0.4901,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-25-00-28-10,2e-05,0.6,8,2048,5,0.1,0.2
48.54,42.72,46.79,41.53,0.4475,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-25-00-46-30,2.5e-05,0.6,8,2048,5,0.1,0.2
42.7,37.55,39.95,38.38,0.4261,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-25-01-01-05,3e-05,0.6,8,2048,5,0.1,0.2
