acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
72.36,69.03,68.95,70.81,0.6833,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-18-09-07-44
70.79,66.62,66.01,68.15,0.7005,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-18-09-14-58
72.13,69.18,69.48,69.51,0.7041,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-18-09-22-10
72.81,69.58,70.08,69.65,0.6878,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-18-09-32-31
70.11,66.32,67.76,66.88,0.7051,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-18-09-43-23
71.46,68.35,69.65,68.23,0.7171,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-18-11-51-01
73.03,69.46,70.1,70.22,0.705,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-18-13-38-41
73.71,69.35,69.89,69.32,0.7077,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-18-13-45-36
72.36,68.97,72.83,69.59,0.6838,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-18-13-57-48
72.58,68.47,69.44,69.8,0.6912,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-18-14-04-52
