acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
69.66,66.53,66.34,69.09,0.6940000000000001,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-18-03-37-57
70.56,66.16,69.05,68.8,0.705,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-18-03-43-05
70.79,66.46,66.2,68.78,0.7140000000000001,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-18-03-49-02
69.66,64.14,64.51,64.89,0.6946,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-18-03-54-37
72.81,69.66,69.15,71.62,0.7332,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-18-04-01-39
69.21,65.7,64.71,68.25,0.6997,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-18-04-08-44
72.13,69.09,68.88,70.74,0.7117,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-18-04-13-47
72.13,69.19,68.05,71.55,0.7051,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-18-04-20-40
70.79,67.03,66.85,69.0,0.7126,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-18-04-25-51
71.24,65.61,64.24,68.21,0.6988,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-18-04-31-44
