acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
74.83,70.39,70.93,70.73,0.7073,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-09-08-25-26
73.48,69.57,69.45,70.43,0.7015,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-09-08-31-13
72.36,67.99,67.66,69.09,0.7132,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-09-08-40-10
71.24,67.87,68.51,68.25,0.7029,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-09-08-46-12
70.79,66.39,68.22,66.46,0.7003,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-09-08-54-39
71.91,67.73,68.7,68.04,0.7117,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-09-09-00-37
73.93,68.43,70.29,68.39,0.6945,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-09-09-07-59
73.48,70.39,70.33,71.7,0.7022,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-09-09-14-53
73.48,69.37,70.27,69.77,0.6933,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-09-09-21-41
69.44,64.75,64.85,65.35,0.7116,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-09-09-29-12
