label_id	label_name	prec	rec	f1
0	Complain	0.7347	0.6316	0.6792
1	Praise	0.7407	0.9302	0.8247
2	Apologise	0.963	0.963	0.963
3	Thank	0.9615	1.0	0.9804
4	Criticize	0.6818	0.6522	0.6667
5	Agree	0.9167	0.9167	0.9167
6	Taunt	0.2727	0.25	0.2609
7	Flaunt	0.6364	0.7	0.6667
8	Joke	0.5	0.4	0.4444
9	Oppose	0.5	0.4	0.4444
10	Comfort	0.8462	0.6111	0.7097
11	Care	0.9444	0.8947	0.9189
12	Inform	0.6774	0.7368	0.7059
13	Advise	0.6923	0.72	0.7059
14	Arrange	0.6	0.6818	0.6383
15	Introduce	0.6087	0.6667	0.6364
16	Leave	0.7222	0.7647	0.7429
17	Prevent	0.8125	0.8667	0.8387
18	Greet	1.0	0.6667	0.8
19	Ask for help	0.875	0.7	0.7778

overall		acc	f1	prec	rec	wprec	wrec	wf1
		0.7393	0.7161	0.7343	0.7076	0.7424	0.7393	0.7367
