acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
75.06,72.75,74.66,71.66,74.99,75.51,75.06,0.748,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-26-05,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
74.83,71.69,72.0,72.57,74.83,75.91,74.83,0.7422,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-51-45,2e-05,0.4,0.03,4,8,5,0.1,0.2
74.61,71.35,71.7,71.74,74.85,75.74,74.61,0.7392,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-06-04,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
74.61,71.45,71.98,71.37,74.46,74.69,74.61,0.7382,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-13-12-37,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
74.38,70.56,70.92,71.67,74.06,74.66,74.38,0.7108,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-19-56,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
74.38,69.98,69.84,71.34,73.98,75.05,74.38,0.7229,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-53-09,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
74.16,69.55,69.1,70.69,73.57,73.59,74.16,0.7248,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-11-38-53,2e-05,0.5,0.03,0,8,5,0.1,0.2
74.16,70.79,71.04,71.13,74.0,74.29,74.16,0.7212,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-11-49-05,2e-05,0.5,0.03,2,8,5,0.1,0.2
74.16,70.45,70.59,71.36,74.07,74.62,74.16,0.7273,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-00-31,2e-05,0.5,0.03,4,8,5,0.1,0.2
74.16,68.17,68.71,69.41,72.82,72.72,74.16,0.7439,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-15-10-25,2e-05,0.4,0.03,0,8,5,0.1,0.2
73.93,69.36,69.18,70.27,73.42,73.38,73.93,0.7244,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2026-06-28-16-49-52,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
73.71,70.23,70.32,71.01,73.4,73.73,73.71,0.7578,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2026-06-28-12-57-19,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
