acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
74.16,69.87,69.52,71.32,0.696,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-33-14,3e-05,0.6,8,5,0.1,0.2
74.16,69.87,69.52,71.32,0.696,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-31-24,2.9999999999999997e-05,0.6,8,5,0.1,0.2
73.93,68.43,70.29,68.39,0.6945,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-05-50-13,2e-05,0.5,8,5,0.1,0.2
73.03,69.85,70.18,70.38,0.7025,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-21-32,2.5e-05,0.45,8,5,0.1,0.2
72.81,70.64,70.09,72.05,0.7156,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-36-43,4e-05,0.4,8,5,0.1,0.2
72.81,68.02,69.17,68.05,0.6876,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-05-33-01,2.5e-05,0.6,8,5,0.1,0.2
72.58,68.64,68.52,69.73,0.6978,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-28-27,2.9999999999999997e-05,0.4,8,5,0.1,0.2
72.58,68.64,68.52,69.73,0.6978,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-41-12,3e-05,0.4,8,5,0.1,0.2
72.58,70.21,71.41,69.77,0.7073,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-12-37,2e-05,0.45,8,5,0.1,0.2
72.36,64.56,63.45,66.63,0.6931,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-13-47,2.9999999999999997e-05,0.5,8,5,0.1,0.2
72.36,68.49,68.69,69.35,0.7032,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-50-18,3e-05,0.45,8,5,0.1,0.2
72.36,64.56,63.45,66.63,0.6931,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-56-56,3e-05,0.5,8,5,0.1,0.2
72.36,68.49,68.69,69.35,0.7032,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-16-46,2.9999999999999997e-05,0.45,8,5,0.1,0.2
72.36,69.5,68.86,70.88,0.6998,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-05-04-44,2.5e-05,0.4,8,5,0.1,0.2
72.13,67.8,67.89,68.48,0.6999,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-33-55,2e-05,0.45,8,5,0.1,0.2
72.13,69.15,69.15,70.45,0.705,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-05-58-11,2.5e-05,0.5,8,5,0.1,0.2
71.91,67.35,69.05,68.12,0.7107,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-25-40,2e-05,0.6,8,5,0.1,0.2
71.91,66.73,66.7,67.49,0.7158,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-57-38,1e-05,0.5,8,5,0.1,0.2
71.91,68.06,67.86,69.34,0.7103,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-42-19,2e-05,0.45,8,5,0.1,0.2
71.91,67.41,72.77,66.91,0.6804,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-03-16,5e-05,0.45,8,5,0.1,0.2
71.91,67.79,68.33,67.73,0.7284,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-08-21,1e-05,0.4,8,5,0.1,0.2
71.91,67.09,68.2,67.01,0.6919,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-07-04-11,3e-05,0.3,8,5,0.1,0.2
71.91,67.35,69.05,68.12,0.7107,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-15-55,2e-05,0.6,8,5,0.1,0.2
71.91,68.06,67.86,69.34,0.7103,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-02-09,2e-05,0.45,8,5,0.1,0.2
71.91,67.27,67.12,69.05,0.6868,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-03-49-06,2e-05,0.6,8,5,0.1,0.2
71.91,67.73,68.7,68.04,0.7117,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-08-04,2e-05,0.5,8,5,0.1,0.2
71.91,69.0,69.82,69.27,0.7038,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-47-34,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.91,67.61,68.69,67.34,0.6873,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-05-12-38,3e-05,0.4,8,5,0.1,0.2
71.91,69.61,69.23,70.88,0.7103,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-47-30,2.5e-05,0.4,8,5,0.1,0.2
71.69,67.96,68.06,68.72,0.715,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-09-52,2.5e-05,0.45,8,5,0.1,0.2
71.46,65.67,65.24,67.25,0.7123,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-17-46,1e-05,0.6,8,5,0.1,0.2
71.46,67.69,68.4,67.89,0.7174,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-07-09-07,4e-05,0.3,8,5,0.1,0.2
71.24,68.37,69.51,68.67,0.6992,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-25-14,5e-05,0.5,8,5,0.1,0.2
71.24,67.46,68.53,68.66,0.7126,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-46-55,2.5e-05,0.5,8,5,0.1,0.2
71.24,66.99,68.11,66.95,0.7181,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-32-34,2.5e-05,0.4,8,5,0.1,0.2
71.24,68.15,69.05,68.16,0.7025,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-16-47,2.5e-05,0.5,8,5,0.1,0.2
71.24,66.1,66.94,67.64,0.679,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-41-31,2.5e-05,0.45,8,5,0.1,0.2
71.24,66.98,67.49,67.53,0.7090000000000001,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-56-42,2e-05,0.4,8,5,0.1,0.2
71.24,67.28,67.76,67.52,0.7121,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-05-40-08,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.01,67.49,67.97,68.71,0.6913,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-19-12,4e-05,0.5,8,5,0.1,0.2
71.01,66.38,66.05,67.06,0.7096,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-32-16,1e-05,0.45,8,5,0.1,0.2
71.01,66.86,69.51,66.5,0.6889,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-57-36,4e-05,0.45,8,5,0.1,0.2
71.01,67.03,67.72,68.46,0.6743,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-44-34,5e-05,0.4,8,5,0.1,0.2
70.79,66.39,68.22,66.46,0.7003,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-05-06-43,2e-05,0.5,8,5,0.1,0.2
70.79,66.29,66.9,66.68,0.7127,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-49-45,1e-05,0.3,8,5,0.1,0.2
70.79,66.64,66.82,67.72,0.6995,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-58-29,2e-05,0.3,8,5,0.1,0.2
70.79,66.39,68.22,66.46,0.7003,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-40-10,2e-05,0.5,8,5,0.1,0.2
70.79,65.3,65.53,65.99,0.6859999999999999,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-07-02,3e-05,0.5,8,5,0.1,0.2
70.56,66.17,66.19,67.95,0.6922,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-02-24-23,2.5e-05,0.6,8,5,0.1,0.2
70.56,67.02,69.51,67.03,0.6947,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-05-25-21,2e-05,0.6,8,5,0.1,0.2
70.34,67.03,69.69,66.56,0.6932,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-47-28,5e-05,0.6,8,5,0.1,0.2
70.34,67.67,69.7,67.15,0.6782,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-26-54,3e-05,0.5,8,5,0.1,0.2
70.34,66.8,67.24,68.73,0.7217,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-57-30,3e-05,0.4,8,5,0.1,0.2
69.89,66.74,66.9,67.4,0.7097,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-29-12,2.9999999999999997e-05,0.45,8,5,0.1,0.2
69.66,65.76,65.1,68.33,0.6975,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-04-41-21,4e-05,0.6,8,5,0.1,0.2
69.66,65.02,65.04,66.36,0.7097,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-06-19-08,2e-05,0.4,8,5,0.1,0.2
69.66,65.94,67.16,66.01,0.703,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-21-07-14-03,5e-05,0.3,8,5,0.1,0.2
69.66,65.02,65.04,66.36,0.7097,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-24-03-23-33,2e-05,0.4,8,5,0.1,0.2
69.66,67.02,68.52,68.59,0.6687,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-04-01-47,2.9999999999999997e-05,0.6,8,5,0.1,0.2
69.44,65.48,66.93,66.0,0.6996,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-24-06-38-44,2e-05,0.4,8,5,0.1,0.2
68.54,63.23,67.12,65.45,0.6807,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-24-03-55-59,2.5e-05,0.6,8,5,0.1,0.2
