acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
71.69,67.06,68.05,68.01,0.7040000000000001,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-06-05,2e-05,0.5,8,5,0.1,0.2
70.11,66.44,67.04,67.09,0.7003,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-02-29-02,2e-05,0.5,8,5,0.1,0.2
70.11,66.03,66.3,66.96,0.7056,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-02-42-38,2e-05,0.5,8,5,0.1,0.2
72.81,68.79,71.02,69.1,0.6893,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-02-56-05,2e-05,0.5,8,5,0.1,0.2
70.56,66.71,67.05,67.31,0.6920000000000001,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-20-03-12-54,2e-05,0.5,8,5,0.1,0.2
72.13,67.75,68.36,67.63,0.6916,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-20-03-26-49,2e-05,0.5,8,5,0.1,0.2
72.58,66.99,66.3,68.48,0.7054,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-20-03-41-50,2e-05,0.5,8,5,0.1,0.2
71.91,68.56,69.56,68.41,0.6877,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-20-03-56-01,2e-05,0.5,8,5,0.1,0.2
72.36,68.32,67.98,69.56,0.7056,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-20-04-12-08,2e-05,0.5,8,5,0.1,0.2
73.03,69.76,69.74,70.85,0.6901,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-20-04-39-06,2e-05,0.5,8,5,0.1,0.2
