acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
49.89,44.69,46.99,45.54,0.4426,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-14-55-39,1e-05,0.6,8,2048,5,0.1,0.2
49.44,44.53,44.58,45.46,0.4785,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-15-09-57,2e-05,0.6,8,2048,5,0.1,0.2
9.66,1.84,1.5,4.69,0.0268,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-15-25-12,2.5e-05,0.6,8,2048,5,0.1,0.2
49.66,45.95,48.44,44.81,0.4835,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-15-29-06,3e-05,0.6,8,2048,5,0.1,0.2
51.69,45.97,47.31,45.49,0.4713,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-15-46-29,1e-05,0.5,8,2048,5,0.1,0.2
49.66,46.02,48.21,45.1,0.4807,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-16-03-32,2e-05,0.5,8,2048,5,0.1,0.2
49.89,44.24,45.44,43.79,0.4848,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-16-19-20,2.5e-05,0.5,8,2048,5,0.1,0.2
23.37,9.03,10.58,12.62,0.0726,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-16-40-10,3e-05,0.5,8,2048,5,0.1,0.2
53.26,48.85,49.36,49.45,0.45899999999999996,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-16-46-51,1e-05,0.45,8,2048,5,0.1,0.2
55.73,50.1,51.65,50.18,0.4934,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-00-27,2e-05,0.45,8,2048,5,0.1,0.2
54.16,51.55,52.98,51.94,0.5065,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-15-36,2.5e-05,0.45,8,2048,5,0.1,0.2
28.09,13.34,12.07,17.72,0.1419,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-29-53,3e-05,0.45,8,2048,5,0.1,0.2
12.13,1.1,0.62,4.74,0.0128,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-35-11,1e-05,0.4,8,2048,5,0.1,0.2
50.56,46.83,49.26,46.19,0.4931,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-39-22,2e-05,0.4,8,2048,5,0.1,0.2
48.76,43.95,46.27,43.29,0.4894,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-17-52-10,2.5e-05,0.4,8,2048,5,0.1,0.2
46.29,43.84,46.71,43.98,0.4287,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-18-13-16,3e-05,0.4,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-18-36-52,1e-05,0.35,8,2048,5,0.1,0.2
52.58,47.89,49.88,47.45,0.4969,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-18-40-58,2e-05,0.35,8,2048,5,0.1,0.2
51.01,46.45,48.16,45.6,0.4936,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-18-55-08,2.5e-05,0.35,8,2048,5,0.1,0.2
