acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
75.51,71.69,72.01,72.44,0.7005,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-12-56-41,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
75.51,71.69,72.01,72.44,0.7005,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-14-18-02,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
74.38,70.01,70.73,70.25,0.7113,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-07-57-06,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
73.71,70.52,70.65,70.76,0.6946,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-08-55-06,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
73.71,69.76,70.54,69.83,0.6982,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-04-09-21-55,2.5e-05,0.45,0.03,6,8,5,0.1,0.2
73.48,69.0,69.64,69.45,0.6966,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-08-09-40,2.5e-05,0.45,0.03,5,8,5,0.1,0.2
73.26,70.54,70.34,71.46,0.7175,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-04-10-21-19,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
72.81,69.03,68.72,70.08,0.703,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-04-08-46-40,2.5e-05,0.45,0.03,1,8,5,0.1,0.2
72.81,69.62,70.42,69.69,0.7099,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-09-41-17,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
72.81,70.07,71.5,70.47,0.6926,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-18-49,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
72.81,67.67,67.74,68.69,0.6909,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-11-55-34,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
72.81,68.52,69.38,69.19,0.7140000000000001,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-04-12-07-14,2.5e-05,0.45,0.03,4,8,5,0.1,0.2
72.58,68.0,69.01,68.43,0.7062,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-04-08-54-03,2.5e-05,0.45,0.03,2,8,5,0.1,0.2
72.58,69.04,69.22,69.96,0.6937,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-12-04-10-10-07,2.5e-05,0.45,0.03,3,8,5,0.1,0.2
72.58,67.34,67.65,68.59,0.7036,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-12-27-23,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
72.36,69.05,69.17,69.71,0.7204,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-04-08-22-36,2.5e-05,0.45,0.03,7,8,5,0.1,0.2
