acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
75.73,72.15,71.58,73.47,75.85,76.58,75.73,0.73,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-21-10,2e-05,0.5,0.03,4,8,5,0.1,0.2
75.51,71.15,71.38,71.88,75.22,75.64,75.51,0.7332,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-50-49,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
75.06,71.34,72.27,70.98,75.01,75.37,75.06,0.7196,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-57-02,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
74.38,70.76,70.79,72.28,74.38,75.5,74.38,0.7294,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-26-25,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
74.38,69.03,69.05,70.16,73.88,74.31,74.38,0.7384,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-48-56,2e-05,0.4,0.03,0,8,5,0.1,0.2
74.16,69.73,71.12,69.64,73.83,74.34,74.16,0.7207,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-52-26,2.5e-05,0.6,0.03,3,8,5,0.1,0.2
74.16,70.07,69.71,71.47,73.79,74.24,74.16,0.7062,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-55-30,2e-05,0.6,0.03,4,8,5,0.1,0.2
73.93,70.8,70.43,71.7,73.85,74.39,73.93,0.7305,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-11-58-16,2e-05,0.5,0.03,4,8,5,0.1,0.2
73.93,69.67,69.79,71.11,73.09,73.5,73.93,0.7326,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-16-20-36,2.5e-05,0.6,0.03,4,8,5,0.1,0.2
73.71,68.64,68.68,69.48,73.27,73.51,73.71,0.7302,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-14-02-08,2e-05,0.5,0.03,0,8,5,0.1,0.2
73.48,69.79,71.45,69.69,73.44,74.69,73.48,0.7363,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-03-43,2.5e-05,0.4,0.03,3,8,5,0.1,0.2
73.48,69.41,69.14,70.66,72.91,73.11,73.48,0.716,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-12-40,2e-05,0.6,0.03,0,8,5,0.1,0.2
73.48,69.04,69.45,69.53,73.03,73.24,73.48,0.7139,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-08-35,2e-05,0.4,0.03,4,8,5,0.1,0.2
73.48,70.07,70.6,70.35,73.39,73.98,73.48,0.7446,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-13-21,2.5e-05,0.4,0.03,0,8,5,0.1,0.2
73.26,68.4,70.09,68.7,72.86,73.88,73.26,0.7354,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-37-04,2.5e-05,0.6,0.03,0,8,5,0.1,0.2
73.03,69.67,70.52,69.99,72.86,73.53,73.03,0.7120000000000001,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-35-32,2e-05,0.4,0.03,2,8,5,0.1,0.2
73.03,70.07,70.11,70.62,73.09,73.79,73.03,0.7319,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-31-06,2.5e-05,0.4,0.03,4,8,5,0.1,0.2
72.81,69.14,69.13,69.57,72.55,72.7,72.81,0.7346,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-40-46,2e-05,0.4,0.03,3,8,5,0.1,0.2
72.58,67.71,68.16,68.59,71.92,72.3,72.58,0.7197,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-04-12,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
72.58,68.91,69.64,69.17,72.02,72.17,72.58,0.723,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-12-46-10,2e-05,0.4,0.03,4,8,5,0.1,0.2
72.36,68.24,68.86,68.85,72.15,72.97,72.36,0.7256,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2026-06-28-13-30-21,2e-05,0.6,0.03,4,8,5,0.1,0.2
72.36,67.8,67.94,68.65,71.87,72.11,72.36,0.6941,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-17-18,2.5e-05,0.4,0.03,1,8,5,0.1,0.2
72.36,69.62,70.34,69.71,72.29,72.8,72.36,0.7167,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-20-50,2.5e-05,0.4,0.03,2,8,5,0.1,0.2
72.36,68.17,69.26,68.8,72.19,73.94,72.36,0.7179,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-36-39,2e-05,0.6,0.03,0,8,5,0.1,0.2
72.36,68.2,68.34,68.77,72.25,72.81,72.36,0.7285,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2026-06-28-15-45-11,2e-05,0.6,0.03,2,8,5,0.1,0.2
