acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
74.83,70.39,70.93,70.73,0.7073,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-46-32,2e-05,0.5,8,5,0.1,0.2
74.61,71.38,72.25,71.06,0.7075,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-52-22,2e-05,0.4,8,5,0.1,0.2
73.48,70.56,71.23,70.79,0.7047,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-20-34,2e-05,0.45,8,5,0.1,0.2
73.48,69.88,70.29,70.14,0.7058,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-41-49,4e-05,0.3,8,5,0.1,0.2
73.48,69.57,69.45,70.43,0.7015,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-42-51,2e-05,0.5,8,5,0.1,0.2
73.48,68.21,72.81,69.13,0.6779,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-35-20,4e-05,0.45,8,5,0.1,0.2
73.48,69.94,70.07,70.6,0.7035,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-20-09,2e-05,0.45,8,5,0.1,0.2
73.48,68.84,69.2,69.15,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-19-56,2e-05,0.45,8,5,0.1,0.2
73.26,68.27,67.59,69.74,0.7126,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-06-56,1e-05,0.6,8,5,0.1,0.2
73.26,68.75,70.04,68.9,0.7003,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-32-17,1e-05,0.5,8,5,0.1,0.2
73.26,67.63,67.62,68.66,0.7166,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-55-59,2e-05,0.4,8,5,0.1,0.2
73.03,68.29,68.71,69.55,0.6773,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-13-31,5e-05,0.4,8,5,0.1,0.2
73.03,69.59,70.15,69.7,0.7125,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-11-18,3e-05,0.6,8,5,0.1,0.2
73.03,66.64,67.94,67.61,0.6978,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-50-42,2.9999999999999997e-05,0.5,8,5,0.1,0.2
73.03,70.16,70.52,71.08,0.6889,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-59-28,4e-05,0.5,8,5,0.1,0.2
72.81,68.47,68.99,69.07,0.6928,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-21-57,2.9999999999999997e-05,0.6,8,5,0.1,0.2
72.81,66.55,66.48,68.01,0.6847,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-06-55,5e-05,0.5,8,5,0.1,0.2
72.58,67.58,68.34,67.56,0.7058,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-38-35,1e-05,0.5,8,5,0.1,0.2
72.58,68.94,70.15,68.53,0.7146,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-20-34,2e-05,0.45,8,5,0.1,0.2
72.58,69.11,69.51,69.5,0.7066,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-34-34,1e-05,0.5,8,5,0.1,0.2
72.58,69.14,69.01,69.99,0.6941,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-56-27,2e-05,0.4,8,5,0.1,0.2
72.58,68.32,69.19,68.71,0.718,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-28-35,3e-05,0.45,8,5,0.1,0.2
72.58,68.07,68.71,67.92,0.7024,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-11-37-30,4e-05,0.45,8,5,0.1,0.2
72.36,68.42,68.71,69.16,0.7012,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-53-03,3e-05,0.5,8,5,0.1,0.2
72.36,67.87,67.8,68.41,0.7019,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-11-43,1e-05,0.45,8,5,0.1,0.2
72.36,67.99,67.66,69.09,0.7132,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-45-38,2e-05,0.5,8,5,0.1,0.2
72.36,68.07,68.03,68.82,0.6769,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-25-02,5e-05,0.6,8,5,0.1,0.2
72.13,67.38,68.3,67.67,0.6804,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-18-58,4e-05,0.6,8,5,0.1,0.2
72.13,68.48,69.07,68.95,0.6912,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-15-37,5e-05,0.4,8,5,0.1,0.2
72.13,66.85,68.0,67.87,0.6864,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-09-53-14,1e-05,0.6,8,5,0.1,0.2
71.91,66.47,66.1,67.69,0.6816,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-01-15-45,2e-05,0.6,8,5,0.1,0.2
71.91,68.41,69.14,70.25,0.6943,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-03-06,3e-05,0.4,8,5,0.1,0.2
71.91,67.62,68.59,67.38,0.6864,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-10-37,3e-05,0.6,8,5,0.1,0.2
71.91,68.4,68.28,69.26,0.6908,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-40-37,5e-05,0.45,8,5,0.1,0.2
71.91,68.18,68.34,69.21,0.7045,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-42-07,4e-05,0.3,8,5,0.1,0.2
71.69,66.52,66.95,67.31,0.6811,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-08-49,4e-05,0.4,8,5,0.1,0.2
71.69,68.37,69.7,68.45,0.6876,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-04-53-01,2.9999999999999997e-05,0.5,8,5,0.1,0.2
71.69,67.18,67.64,67.7,0.7151,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-12-25,1e-05,0.45,8,5,0.1,0.2
71.69,68.22,71.25,66.7,0.7066,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-08-28-45,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.69,67.56,71.23,67.65,0.6653,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-48-34,5e-05,0.3,8,5,0.1,0.2
71.46,65.06,69.52,65.96,0.6721,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-37-30,5e-05,0.45,8,5,0.1,0.2
71.46,67.26,67.68,67.8,0.6989,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-05-00-04,4e-05,0.5,8,5,0.1,0.2
71.46,66.54,67.2,67.85,0.6956,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-08-29,4e-05,0.4,8,5,0.1,0.2
71.46,68.38,68.77,68.95,0.6898,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-06-30-15,2e-05,0.3,8,5,0.1,0.2
71.46,66.64,67.45,66.92,0.6889,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-07-13-30,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.46,67.87,68.1,68.89,0.6849,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-09-05-26,3e-05,0.4,8,5,0.1,0.2
71.46,66.4,66.13,67.57,0.7057,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-10-02-47,2e-05,0.6,8,5,0.1,0.2
71.24,65.0,66.11,65.66,0.6924,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-32-28,4e-05,0.45,8,5,0.1,0.2
71.24,67.73,68.05,68.72,0.6898,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-03-28-03,2e-05,0.3,8,5,0.1,0.2
71.24,66.48,65.89,67.83,0.701,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-03-54-08,1e-05,0.6,8,5,0.1,0.2
