acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
73.93,69.61,69.8,70.21,0.6963,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-36-54,2e-05,0.45,8,5,0.1,0.2
73.93,69.84,70.16,70.26,0.6994,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-05-29-50,2e-05,0.6,8,5,0.1,0.2
73.71,71.0,70.12,72.88,0.7102,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-10-43,2.5e-05,0.45,8,5,0.1,0.2
73.71,69.68,69.66,70.56,0.6972,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-05-37-49,2.5e-05,0.6,8,5,0.1,0.2
73.48,70.39,70.33,71.7,0.7022,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-08-48,2e-05,0.5,8,5,0.1,0.2
73.48,70.39,70.33,71.7,0.7022,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-38-12,2e-05,0.5,8,5,0.1,0.2
73.48,69.74,70.28,71.26,0.6929,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-46-04,2.5e-05,0.5,8,5,0.1,0.2
73.48,69.37,70.27,69.77,0.6933,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-12-40,2e-05,0.5,8,5,0.1,0.2
73.48,69.19,69.8,69.57,0.6967,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-48-54,2.5e-05,0.45,8,5,0.1,0.2
73.26,70.5,71.44,70.35,0.7218,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-07-12-02,3e-05,0.3,8,5,0.1,0.2
73.03,68.6,69.59,69.19,0.6968,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-29-53,2e-05,0.6,8,5,0.1,0.2
73.03,68.6,69.59,69.19,0.6968,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-16-40,2e-05,0.6,8,5,0.1,0.2
73.03,68.64,69.65,68.95,0.7105,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-03-54-45,2.5e-05,0.6,8,5,0.1,0.2
72.81,69.34,69.48,69.82,0.7073,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-45-31,2e-05,0.45,8,5,0.1,0.2
72.81,68.92,69.68,69.39,0.7039,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-55-55,3e-05,0.45,8,5,0.1,0.2
72.81,69.34,69.48,69.82,0.7073,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-00-23,2e-05,0.45,8,5,0.1,0.2
72.81,68.92,69.68,69.39,0.7039,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-19-39,2.9999999999999997e-05,0.45,8,5,0.1,0.2
72.58,68.55,68.38,69.46,0.7087,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-35-10,1e-05,0.45,8,5,0.1,0.2
72.58,69.15,69.43,69.71,0.7023,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-26-20,2e-05,0.4,8,5,0.1,0.2
72.58,69.15,69.43,69.71,0.7023,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-27-56,2e-05,0.4,8,5,0.1,0.2
72.58,68.63,69.46,69.0,0.6991,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-17-58,2e-05,0.45,8,5,0.1,0.2
72.36,68.55,68.98,69.25,0.6953,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-05-14-50,2.5e-05,0.4,8,5,0.1,0.2
72.36,68.83,71.05,68.17,0.6987,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-00-50,2.5e-05,0.5,8,5,0.1,0.2
72.13,67.85,68.69,68.58,0.6966,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-10-07,3e-05,0.5,8,5,0.1,0.2
71.91,69.06,70.22,69.48,0.69,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-23-33,4e-05,0.5,8,5,0.1,0.2
71.91,68.5,68.72,69.52,0.7116,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-15-12,1e-05,0.4,8,5,0.1,0.2
71.91,67.74,69.06,67.53,0.6907,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-21-24,2.5e-05,0.5,8,5,0.1,0.2
71.91,69.69,70.02,70.18,0.6967,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-27-45,2.5e-05,0.45,8,5,0.1,0.2
71.91,68.41,69.21,68.64,0.7183,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-35-47,2.9999999999999997e-05,0.45,8,5,0.1,0.2
71.69,68.11,67.25,70.23,0.7025,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-18-57,1e-05,0.6,8,5,0.1,0.2
71.69,67.21,66.87,68.4,0.6956,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-56-12,1e-05,0.5,8,5,0.1,0.2
71.69,67.88,68.73,68.53,0.6836,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-03-13,2.9999999999999997e-05,0.6,8,5,0.1,0.2
71.46,67.35,66.46,70.02,0.701,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-32-56,2.9999999999999997e-05,0.4,8,5,0.1,0.2
71.46,67.35,66.46,70.02,0.701,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-41-32,3e-05,0.4,8,5,0.1,0.2
71.01,67.89,66.96,69.96,0.7085,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-17-03,2.9999999999999997e-05,0.5,8,5,0.1,0.2
71.01,67.37,67.79,67.9,0.69,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-09-45,5e-05,0.45,8,5,0.1,0.2
71.01,66.94,68.64,66.16,0.7008,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-39-06,4e-05,0.4,8,5,0.1,0.2
71.01,67.89,66.96,69.96,0.7085,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-53-56,3e-05,0.5,8,5,0.1,0.2
71.01,66.78,67.37,67.89,0.7044,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-03-35-03,2.5e-05,0.4,8,5,0.1,0.2
71.01,66.37,66.7,68.74,0.6963,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-05-44-25,2.9999999999999997e-05,0.6,8,5,0.1,0.2
70.79,67.93,68.3,68.48,0.6665,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-05-29-46,5e-05,0.5,8,5,0.1,0.2
70.79,66.83,66.87,68.67,0.6877,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-24-30,2.5e-05,0.6,8,5,0.1,0.2
70.79,65.21,67.08,66.85,0.6887,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-03-48-04,2e-05,0.6,8,5,0.1,0.2
70.79,67.02,68.2,66.64,0.6981,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-05-22-27,3e-05,0.4,8,5,0.1,0.2
70.79,67.16,67.97,67.18,0.7138,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-54-02,2.5e-05,0.4,8,5,0.1,0.2
70.56,67.75,70.27,67.22,0.7047,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-04-02,4e-05,0.45,8,5,0.1,0.2
70.34,66.61,66.42,67.47,0.7132,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-07-03-18,2e-05,0.3,8,5,0.1,0.2
70.34,66.7,67.12,67.05,0.6784,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-29-43,3e-05,0.5,8,5,0.1,0.2
70.34,65.51,66.54,65.47,0.7121,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-06-44-58,2e-05,0.4,8,5,0.1,0.2
70.34,66.12,67.4,66.09,0.7053,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-07-03-09,3e-05,0.4,8,5,0.1,0.2
70.11,65.3,65.76,65.37,0.7139,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-53-08,1e-05,0.3,8,5,0.1,0.2
70.11,65.42,66.06,66.03,0.6922,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-05-04-55,2e-05,0.4,8,5,0.1,0.2
69.89,65.52,66.75,66.36,0.6913,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-24-04-58-07,2.9999999999999997e-05,0.45,8,5,0.1,0.2
69.44,64.27,64.98,65.41,0.6831,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-38-11,3e-05,0.6,8,5,0.1,0.2
69.44,66.27,66.5,67.63,0.6838,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-06-47-08,5e-05,0.4,8,5,0.1,0.2
69.44,64.27,64.98,65.41,0.6831,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-24-02-32-41,2.9999999999999997e-05,0.6,8,5,0.1,0.2
69.44,64.75,64.85,65.35,0.7116,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-24-05-51-08,2e-05,0.5,8,5,0.1,0.2
69.21,64.02,68.14,64.73,0.6885,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-50-45,5e-05,0.6,8,5,0.1,0.2
68.99,64.8,66.07,65.22,0.7069,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-21-04-43-45,4e-05,0.6,8,5,0.1,0.2
