acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
49.89,44.48,46.67,44.92,0.4572,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-14-53-08,1e-05,0.6,8,2048,5,0.1,0.2
54.38,47.72,48.86,47.66,0.5008,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-15-06-42,2e-05,0.6,8,2048,5,0.1,0.2
47.87,42.07,44.89,41.77,0.4584,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-15-22-42,2.5e-05,0.6,8,2048,5,0.1,0.2
46.74,40.95,43.97,40.18,0.4374,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-15-37-50,3e-05,0.6,8,2048,5,0.1,0.2
53.03,48.21,49.8,48.76,0.5088,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-15-55-40,1e-05,0.5,8,2048,5,0.1,0.2
50.34,46.35,48.39,46.26,0.4823,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-16-14-55,2e-05,0.5,8,2048,5,0.1,0.2
51.24,45.38,48.0,44.34,0.4884,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-16-30-40,2.5e-05,0.5,8,2048,5,0.1,0.2
47.87,44.46,47.82,43.56,0.5053,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-16-44-16,3e-05,0.5,8,2048,5,0.1,0.2
51.91,44.54,44.18,45.53,0.4801,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-17-00-15,1e-05,0.45,8,2048,5,0.1,0.2
46.52,42.0,43.53,41.8,0.4527,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-17-15-24,2e-05,0.45,8,2048,5,0.1,0.2
53.03,48.44,49.84,48.19,0.4834,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-17-28-11,2.5e-05,0.45,8,2048,5,0.1,0.2
37.08,26.95,28.02,27.74,0.2744,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-17-42-06,3e-05,0.45,8,2048,5,0.1,0.2
53.03,49.54,52.26,49.14,0.4901,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-17-55-31,1e-05,0.4,8,2048,5,0.1,0.2
52.58,49.48,51.29,48.64,0.4937,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-18-10-33,2e-05,0.4,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-18-25-13,2.5e-05,0.4,8,2048,5,0.1,0.2
51.69,47.98,48.98,48.37,0.473,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-18-29-02,3e-05,0.4,8,2048,5,0.1,0.2
55.96,49.7,49.76,50.59,0.5021,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-18-42-29,1e-05,0.35,8,2048,5,0.1,0.2
51.46,47.27,49.55,47.34,0.4869,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-18-56-36,2e-05,0.35,8,2048,5,0.1,0.2
51.24,46.9,48.48,46.89,0.4786,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-24-19-14-14,2.5e-05,0.35,8,2048,5,0.1,0.2
