acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
70.11,66.92,66.85,68.19,0.6837,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-06-10-40,1e-05,0.6,8,2048,5,0.1,0.2
55.28,50.52,50.27,52.17,0.5161,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-06-12-31,1e-05,0.6,8,2048,5,0.1,0.2
59.1,54.63,55.2,55.9,0.5593,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-06-14-10,1e-05,0.6,8,2048,5,0.1,0.2
73.26,70.58,72.24,70.42,0.6736,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-06-28-34,2e-05,0.6,8,2048,5,0.1,0.2
52.13,48.41,49.54,49.02,0.478,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-06-28-52,2e-05,0.6,8,2048,5,0.1,0.2
70.11,66.67,67.52,67.22,0.6904,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-06-32-49,2e-05,0.6,8,2048,5,0.1,0.2
50.34,44.4,44.95,45.57,0.4665,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-06-41-41,2.5e-05,0.6,8,2048,5,0.1,0.2
71.91,67.6,69.36,68.03,0.6898,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-06-40-09,2.5e-05,0.6,8,2048,5,0.1,0.2
71.01,67.25,68.03,68.15,0.6933,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-06-45-22,2.5e-05,0.6,8,2048,5,0.1,0.2
68.54,63.62,66.89,65.38,0.6737,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-06-52-55,3e-05,0.6,8,2048,5,0.1,0.2
53.48,47.37,49.2,47.7,0.4864,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-06-55-21,2.9999999999999997e-05,0.6,8,2048,5,0.1,0.2
71.24,66.29,64.71,68.93,0.6935,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-07-00-11,1e-05,0.5,8,2048,5,0.1,0.2
55.96,50.35,52.53,50.73,0.5247,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-06-54-03,2.9999999999999997e-05,0.6,8,2048,5,0.1,0.2
72.36,68.59,72.02,68.9,0.6767,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-07-09-42,2e-05,0.5,8,2048,5,0.1,0.2
71.91,68.75,69.8,68.97,0.7021,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-07-08-35,1e-05,0.5,8,2048,5,0.1,0.2
70.34,66.35,67.29,66.87,0.6936,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-07-12-56,1e-05,0.5,8,2048,5,0.1,0.2
62.02,59.33,58.76,60.88,0.5759,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-07-19-47,2.5e-05,0.5,8,2048,5,0.1,0.2
54.83,50.31,51.75,51.93,0.4907,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-07-21-36,2e-05,0.5,8,2048,5,0.1,0.2
15.28,2.69,3.23,5.99,0.0213,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-07-33-35,2.5e-05,0.5,8,2048,5,0.1,0.2
68.99,65.56,67.04,65.75,0.6953,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-07-24-28,2e-05,0.5,8,2048,5,0.1,0.2
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-07-37-47,2.9999999999999997e-05,0.5,8,2048,5,0.1,0.2
72.81,68.55,69.53,68.89,0.6838,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-07-33-32,3e-05,0.5,8,2048,5,0.1,0.2
71.01,67.09,66.72,68.09,0.6898,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-25-07-38-59,2.5e-05,0.5,8,2048,5,0.1,0.2
70.56,66.05,65.89,67.72,0.6925,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-25-07-42-07,1e-05,0.45,8,2048,5,0.1,0.2
69.89,66.69,66.43,68.16,0.6933,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-25-07-42-03,1e-05,0.45,8,2048,5,0.1,0.2
