acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
74.83,70.24,69.76,71.81,0.6998,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-09-04-36-58
71.69,67.48,67.96,67.55,0.7202,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-09-04-43-31
70.79,67.43,67.74,68.45,0.6896,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-09-04-50-23
74.38,69.62,69.4,71.12,0.7056,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-09-04-57-00
71.01,66.39,67.74,67.43,0.7076,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-09-05-02-26
71.01,67.27,67.92,67.87,0.6892,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-09-05-08-43
68.76,63.27,63.64,64.17,0.6882,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-09-05-14-08
70.79,67.76,68.6,67.84,0.7046,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-09-05-18-47
71.01,65.56,66.3,66.88,0.6743,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-09-05-26-13
72.58,69.29,69.56,70.14,0.7042,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-09-05-32-31
