acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout,weight_decay
74.38,70.01,70.73,70.25,0.7113,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-16-10-53,2.5e-05,0.45,8,5,0.1,0.2,
74.38,70.01,70.73,70.25,0.7113,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-07-07-27,2.5e-05,0.45,8,5,0.1,0.2,0.03
74.16,71.06,72.22,70.8,0.7048,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-03-00-20-01,2e-05,0.3,8,5,0.1,0.2,
73.71,69.16,69.59,69.31,0.6995,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-16-42-45,2e-05,0.4,8,5,0.1,0.2,
73.71,69.56,70.65,69.58,0.6946,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-02-17-58-44,2e-05,0.6,8,5,0.1,0.2,
73.71,71.27,72.08,71.96,0.7084,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-02-20-22-02,2.5e-05,0.4,8,5,0.1,0.2,
73.71,69.38,68.93,70.35,0.701,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-02-21-48-18,2.5e-05,0.6,8,5,0.1,0.2,
73.71,69.82,71.78,69.41,0.6961,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-03-01-58-03,1.5e-05,0.6,8,5,0.1,0.2,
73.48,70.17,71.88,69.56,0.6944,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-15-40-57,3e-05,0.5,8,5,0.1,0.2,
73.48,69.18,70.66,68.91,0.6876,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-03-01-30-47,2.5e-05,0.6,8,5,0.1,0.2,
73.48,70.78,71.13,70.99,0.6997,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-03-03-02-14,2.9999999999999997e-05,0.45,8,5,0.1,0.2,
73.48,69.16,70.05,69.17,0.6901,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-03-07-34-37,3.5e-05,0.6,8,5,0.1,0.2,
73.48,68.7,71.07,68.39,0.6934,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-03-17-02-12,4e-05,0.45,8,5,0.1,0.2,
73.48,68.96,70.32,68.29,0.691,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-03-17-52-18,3.5e-05,0.4,8,5,0.1,0.2,
73.48,69.0,69.64,69.45,0.6966,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-04-07-07-52,2.5e-05,0.45,8,5,0.1,0.2,0.03
73.26,70.54,70.34,71.46,0.7175,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-02-16-02-41,2.5e-05,0.45,8,5,0.1,0.2,
73.26,69.41,69.87,69.75,0.715,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-02-16-11-17,3e-05,0.45,8,5,0.1,0.2,
73.26,69.54,70.48,69.67,0.6974,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-02-16-27-50,3e-05,0.45,8,5,0.1,0.2,
73.26,69.34,70.38,69.31,0.7034,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-02-20-31-50,3e-05,0.4,8,5,0.1,0.2,
73.26,68.56,70.26,67.83,0.6781,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-03-03-41-37,5e-05,0.5,8,5,0.1,0.2,
73.26,70.55,70.76,71.1,0.728,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-03-09-15-38,3.5e-05,0.5,8,5,0.1,0.2,
73.26,69.36,70.19,69.7,0.6764,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-03-10-21-03,4e-05,0.45,8,5,0.1,0.2,
73.26,69.14,69.27,69.64,0.7209,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-03-15-20-20,1.4999999999999999e-05,0.5,8,5,0.1,0.2,
73.03,69.51,69.48,70.22,0.6974,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-14-55-13,2.9999999999999997e-05,0.6,8,5,0.1,0.2,
73.03,69.84,70.8,69.75,0.7015,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-15-30-21,2.5e-05,0.5,8,5,0.1,0.2,
73.03,68.78,68.95,69.75,0.7090000000000001,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-02-15-33-58,2.9999999999999997e-05,0.5,8,5,0.1,0.2,
73.03,68.06,69.56,67.99,0.7015,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-02-18-08-39,2.5e-05,0.6,8,5,0.1,0.2,
73.03,68.57,69.07,69.24,0.6963,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-02-21-39-11,2e-05,0.6,8,5,0.1,0.2,
73.03,68.43,69.05,68.73,0.7023,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-03-01-21-40,2e-05,0.6,8,5,0.1,0.2,
73.03,68.19,69.9,67.61,0.7,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-12-03-01-59-48,2e-05,0.5,8,5,0.1,0.2,
73.03,69.21,70.35,70.04,0.7019,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-03-13-18-21,9e-06,0.6,8,5,0.1,0.2,
73.03,67.88,68.31,68.89,0.6784,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-03-16-22-19,3.5e-05,0.45,8,5,0.1,0.2,
73.03,70.0,70.66,70.48,0.7132,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-12-03-16-29-09,4e-05,0.45,8,5,0.1,0.2,
73.03,68.22,68.34,69.22,0.682,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-12-03-18-22-46,5e-05,0.4,8,5,0.1,0.2,
72.81,68.52,69.38,69.19,0.7140000000000001,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-12-02-16-11-19,2.5e-05,0.45,8,5,0.1,0.2,
72.81,68.75,69.86,68.75,0.7071,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-12-02-16-36-28,2e-05,0.4,8,5,0.1,0.2,
72.81,70.39,70.85,70.51,0.7081,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-02-16-52-50,2.5e-05,0.4,8,5,0.1,0.2,
72.81,68.33,69.59,68.53,0.6892,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-12-02-18-24-41,2.9999999999999997e-05,0.6,8,5,0.1,0.2,
72.81,69.42,70.88,68.93,0.7129,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-02-20-09-02,2e-05,0.4,8,5,0.1,0.2,
72.81,68.85,69.03,69.37,0.7317,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-03-03-09-27,1.4999999999999999e-05,0.5,8,5,0.1,0.2,
72.81,70.46,72.04,69.91,0.7165,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-12-03-10-35-36,4e-05,0.45,8,5,0.1,0.2,
72.81,66.81,71.15,67.57,0.6819,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-12-03-11-46-27,4e-05,0.4,8,5,0.1,0.2,
