acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_2025-04-29-09-19-45
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_2025-04-29-09-23-45
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2025-04-29-09-26-02
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_2025-04-29-09-28-25
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_2025-04-29-09-30-47
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_2025-04-29-09-33-06
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_2025-04-29-09-35-27
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_2025-04-29-09-37-48
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_2025-04-29-09-40-09
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_2025-04-29-09-42-30
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_2025-05-05-13-59-21
12.81,1.14,0.64,5.0,0.0114,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_2025-05-06-07-19-04
73.93,68.69,67.26,70.78,0.7065,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_2025-05-07-15-00-59
70.56,66.03,65.72,67.41,0.7113,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_2025-05-07-15-27-15
69.89,65.59,64.8,68.12,0.6857,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2025-05-07-15-33-41
72.13,67.54,68.43,67.74,0.6959,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_2025-05-07-15-41-12
72.81,68.76,70.13,68.95,0.7091,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_2025-05-07-15-51-23
73.93,68.69,67.26,70.78,0.7065,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_2025-05-08-05-21-37
70.56,66.03,65.72,67.41,0.7113,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_2025-05-08-05-28-48
69.89,65.59,64.8,68.12,0.6857,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2025-05-08-05-34-51
72.13,67.54,68.43,67.74,0.6959,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_2025-05-08-05-42-10
72.81,68.76,70.13,68.95,0.7091,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_2025-05-08-05-52-13
70.56,66.38,66.74,67.74,0.7005,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_2025-05-08-05-59-36
73.71,70.14,70.53,70.51,0.6865,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_2025-05-08-06-07-20
69.89,65.41,65.9,65.98,0.6839,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_2025-05-08-06-13-52
71.46,67.81,68.88,67.92,0.6796,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_2025-05-08-06-21-26
74.38,69.97,70.83,70.84,0.6956,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_2025-05-08-06-31-11
