acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
59.91,53.55,54.21,54.76,59.03,59.17,59.91,0.5081,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-22-34-50,2e-05,0.5,0.03,0,8,5,0.1,0.2
59.76,52.07,53.88,52.58,58.58,58.37,59.76,0.4963,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-17-31-07,6e-06,0.5,0.03,0,8,5,0.1,0.2
59.47,50.72,54.82,51.3,57.59,57.72,59.47,0.4843,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-04-59-55,4e-06,0.5,0.03,0,8,5,0.1,0.2
59.47,52.23,54.27,52.45,58.35,58.14,59.47,0.4949,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-09-37-29,4e-06,0.5,0.03,7,8,5,0.1,0.2
59.37,51.21,55.98,51.09,58.04,58.66,59.37,0.4934,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-16-46-44,3e-06,0.5,0.03,8,8,5,0.1,0.2
59.32,51.85,53.67,52.15,58.29,58.14,59.32,0.5001,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-07-21-51,4e-06,0.5,0.03,4,8,5,0.1,0.2
59.32,52.11,56.86,52.27,58.15,58.57,59.32,0.4977,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-10-59-20,3e-06,0.5,0.03,0,8,5,0.1,0.2
59.27,51.53,52.75,52.17,58.13,57.79,59.27,0.5071,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-08-00-24,4e-06,0.5,0.03,5,8,5,0.1,0.2
59.27,51.71,55.43,51.86,57.96,58.18,59.27,0.4977,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-15-59-37,3e-06,0.5,0.03,7,8,5,0.1,0.2
59.22,51.87,52.72,51.94,58.27,57.94,59.22,0.5098,MIntRec2.0,mag_bert,bert-large-uncased,2,mag_bert_MIntRec2.0_multi-class_2_2026-06-30-21-58-22,6e-06,0.5,0.03,8,8,5,0.1,0.2
