acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,n_levels,attn_dropout,embed_dropout
71.69,67.61,67.33,68.78,0.7013,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-08-20-02-07-40,2e-05,0.5,8,5,0.1,0.2
72.36,68.52,69.51,68.65,0.7081,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-20-02-20-57,2e-05,0.5,8,5,0.1,0.2
72.58,67.99,69.02,68.66,0.6971,MIntRec,mag_bert,bert-base-uncased,2,mag_bert_MIntRec_multi-class_2_2025-08-20-02-38-57,2e-05,0.5,8,5,0.1,0.2
72.58,68.69,69.08,69.39,0.68,MIntRec,mag_bert,bert-base-uncased,3,mag_bert_MIntRec_multi-class_3_2025-08-20-02-53-14,2e-05,0.5,8,5,0.1,0.2
70.34,65.24,65.87,65.59,0.7027,MIntRec,mag_bert,bert-base-uncased,4,mag_bert_MIntRec_multi-class_4_2025-08-20-03-06-28,2e-05,0.5,8,5,0.1,0.2
70.79,67.59,68.38,68.02,0.6879,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-20-03-19-21,2e-05,0.5,8,5,0.1,0.2
72.13,66.2,65.34,68.21,0.6988,MIntRec,mag_bert,bert-base-uncased,6,mag_bert_MIntRec_multi-class_6_2025-08-20-03-35-53,2e-05,0.5,8,5,0.1,0.2
71.91,68.26,71.55,68.4,0.7094,MIntRec,mag_bert,bert-base-uncased,7,mag_bert_MIntRec_multi-class_7_2025-08-20-03-49-08,2e-05,0.5,8,5,0.1,0.2
73.48,69.07,68.99,69.64,0.7102,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-20-04-02-27,2e-05,0.5,8,5,0.1,0.2
71.69,66.93,66.91,67.98,0.6987,MIntRec,mag_bert,bert-base-uncased,9,mag_bert_MIntRec_multi-class_9_2025-08-20-04-19-08,2e-05,0.5,8,5,0.1,0.2
