acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
62.46,58.98,59.63,60.19,62.05,63.45,62.46,0.7120000000000001,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-10-57-19,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
61.67,58.44,58.46,60.26,61.14,62.28,61.67,0.702,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-07-45-08,2.5e-05,0.5,0.03,8,8,5,0.1,0.2
61.46,58.17,60.08,59.68,60.95,63.69,61.46,0.6957,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-07-25-54,2.5e-05,0.5,0.03,6,8,5,0.1,0.2
61.24,59.32,60.59,59.92,62.11,64.8,61.24,0.7096,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-06-55-22,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
61.17,57.27,57.65,58.43,61.0,62.3,61.17,0.7146,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-07-09-51,2.5e-05,0.5,0.03,5,8,5,0.1,0.2
60.95,58.12,59.01,59.42,61.05,63.06,60.95,0.7111,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-06-40-54,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
60.88,58.7,58.69,60.15,60.59,61.99,60.88,0.7161,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-07-35-14,2.5e-05,0.5,0.03,7,8,5,0.1,0.2
60.45,58.1,58.55,59.41,60.73,62.65,60.45,0.6990000000000001,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-06-26-26,2.5e-05,0.5,0.03,2,8,5,0.1,0.2
60.23,57.23,58.18,58.76,60.38,62.55,60.23,0.7005,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-10-37-26,2.5e-05,0.5,0.03,0,8,5,0.1,0.2
59.94,58.1,58.61,59.92,60.32,62.94,59.94,0.7204,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-17-06-14-57,2.5e-05,0.5,0.03,1,8,5,0.1,0.2
59.44,56.83,57.65,58.06,59.72,61.77,59.44,0.7191,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-09-11-18,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
59.44,57.09,58.88,57.65,59.55,61.76,59.44,0.7015,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-09-22-00,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
59.44,56.83,57.65,58.06,59.72,61.77,59.44,0.7191,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-10-02-09,2.5e-05,0.5,0.03,3,8,5,0.1,0.2
59.44,57.09,58.88,57.65,59.55,61.76,59.44,0.7015,MIntRec,mag_bert,bert-base-uncased,0,mag_bert_MIntRec_multi-class_0_2025-12-11-10-16-48,2.5e-05,0.5,0.03,4,8,5,0.1,0.2
