acc,f1,prec,rec,weighted_f1,weighted_prec,weighted_rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,weight_decay,num_experts,nheads,n_levels,attn_dropout,embed_dropout
60.06,52.2,55.58,52.47,58.77,58.91,60.06,0.5068,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-06-14-56,4e-06,0.5,0.03,0,8,5,0.1,0.2
59.67,52.88,53.72,53.04,58.81,58.46,59.67,0.5144,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-03-50-10,5e-06,0.5,0.03,5,8,5,0.1,0.2
59.37,54.18,54.53,54.59,59.09,59.28,59.37,0.5105,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-00-43-57,5e-06,0.5,0.03,0,8,5,0.1,0.2
59.37,52.82,54.47,52.5,58.55,58.26,59.37,0.5038,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-05-36-36,5e-06,0.5,0.03,8,8,5,0.1,0.2
59.37,54.63,54.67,54.92,59.26,59.46,59.37,0.5114,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-21-33-58,6e-06,0.5,0.03,4,8,5,0.1,0.2
59.32,51.73,53.92,51.84,58.12,57.76,59.32,0.4994,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-11-31-05,4e-06,0.5,0.03,8,8,5,0.1,0.2
59.22,51.85,52.64,52.05,58.29,57.87,59.22,0.5048,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-10-12-35,4e-06,0.5,0.03,6,8,5,0.1,0.2
59.17,52.1,52.12,52.88,58.23,57.72,59.17,0.5098,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-18-21-07,3e-06,0.5,0.03,8,8,5,0.1,0.2
58.98,51.84,54.27,52.11,57.91,58.0,58.98,0.5051,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-08-44-37,4e-06,0.5,0.03,4,8,5,0.1,0.2
58.93,52.68,58.29,52.98,58.0,59.31,58.93,0.4963,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-15-02-50,3e-06,0.5,0.03,4,8,5,0.1,0.2
58.88,53.42,53.66,53.8,58.37,58.29,58.88,0.5137,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-22-18-27,6e-06,0.5,0.03,5,8,5,0.1,0.2
58.83,51.96,52.29,52.26,58.22,57.94,58.83,0.5025,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-17-22-46,3e-06,0.5,0.03,7,8,5,0.1,0.2
58.68,52.96,53.3,53.22,58.28,58.23,58.68,0.516,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-19-12-07,6e-06,0.5,0.03,0,8,5,0.1,0.2
58.48,50.35,55.02,50.81,57.0,57.51,58.48,0.4929,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-10-53-52,4e-06,0.5,0.03,7,8,5,0.1,0.2
58.48,50.47,52.91,50.68,57.04,56.79,58.48,0.4923,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-16-38-53,3e-06,0.5,0.03,6,8,5,0.1,0.2
58.34,51.1,51.43,51.67,57.02,56.27,58.34,0.4975,MIntRec2.0,mag_bert,bert-large-uncased,4,mag_bert_MIntRec2.0_multi-class_4_2026-06-30-15-53-32,3e-06,0.5,0.03,5,8,5,0.1,0.2
